iso3c,year,Ratio.RMC.to.market.XR,country,military_spending,type,military_spending_PPP,change_nominal,change_nominal_percent,change_PPP,change_PPP_percent,nato
GAB,1949,NA,Gabon,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
GAB,1949,NA,Gabon,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
GBR,1949,NA,United Kingdom,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
GBR,1949,NA,United Kingdom,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
GEO,1949,NA,Georgia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
GEO,1949,NA,Georgia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
GHA,1949,NA,Ghana,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
GHA,1949,NA,Ghana,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
GIN,1949,NA,Guinea,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
GIN,1949,NA,Guinea,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
GMB,1949,NA,"Gambia, The",NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
GMB,1949,NA,"Gambia, The",NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
GNB,1949,NA,Guinea-Bissau,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
GNB,1949,NA,Guinea-Bissau,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
GNQ,1949,NA,Equatorial Guinea,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
GNQ,1949,NA,Equatorial Guinea,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
GRC,1949,NA,Greece,324.73086164999114,Current USD (m),NA,NA,NA,NA,NA,TRUE
GRC,1949,NA,Greece,828.3928175896644,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
GTM,1949,NA,Guatemala,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
GTM,1949,NA,Guatemala,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
GUY,1949,NA,Guyana,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
GUY,1949,NA,Guyana,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
HND,1949,NA,Honduras,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
HND,1949,NA,Honduras,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
HRV,1949,NA,Croatia,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
HRV,1949,NA,Croatia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
HTI,1949,NA,Haiti,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
HTI,1949,NA,Haiti,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
