year,iso3c,neighbors
1971,GAB,"GNQ, CMR, COG"
1971,CAF,"CMR, TCD, COG, COD, SDN"
1971,TCD,"NER, CMR, NGA, CAF, LBY, SDN"
1971,COG,"CMR, GAB, CAF, COD"
1971,COD,"CAF, COG, UGA, TZA, BDI, RWA, ZMB, SDN"
1971,UGA,"COD, KEN, TZA, RWA, SDN"
1971,KEN,"UGA, TZA, SOM, ETH, SDN"
1971,TZA,"COD, UGA, KEN, BDI, RWA, ZMB, MWI"
1971,BDI,"COD, TZA, RWA"
1971,RWA,"COD, UGA, TZA, BDI"
1971,SOM,"KEN, ETH"
1971,ETH,"KEN, SOM, SDN"
1971,ZMB,"COD, TZA, ZWE, MWI, BWA"
1971,ZWE,"ZMB, ZAF, BWA"
1971,MWI,"TZA, ZMB"
1971,ZAF,"ZWE, LSO, BWA, SWZ"
1971,LSO,ZAF
1971,BWA,"ZMB, ZWE, ZAF"
1971,SWZ,ZAF
1971,MDG,
1971,MUS,
1971,MAR,"ESP, MRT, DZA"
1971,DZA,"MLI, MRT, NER, MAR, TUN, LBY"
1971,TUN,"DZA, LBY"
1971,LBY,"NER, TCD, DZA, TUN, SDN, EGY"
1971,SDN,"CAF, TCD, COD, UGA, KEN, ETH, LBY, EGY"
1971,IRN,"RUS, TUR, IRQ, KWT, AFG, PAK"
1971,TUR,"GRC, BGR, RUS, IRN, IRQ, SYR"
1971,IRQ,"IRN, TUR, SYR, JOR, SAU, KWT"
1971,EGY,"LBY, SDN, ISR"
1971,SYR,"TUR, IRQ, LBN, JOR, ISR"
1971,LBN,"SYR, ISR"
1971,JOR,"IRQ, SYR, ISR, SAU"
1971,ISR,"EGY, SYR, LBN, JOR, SAU"
1971,SAU,"IRQ, JOR, ISR, KWT, OMN"
1971,KWT,"IRN, IRQ, SAU"
1971,OMN,SAU
1971,AFG,"RUS, IRN, CHN, PAK"
1971,CHN,"RUS, AFG, MNG, PRK, IND, BTN, PAK, MMR, NPL, LAO"
1971,MNG,"RUS, CHN"
1971,TWN,
1971,PRK,"RUS, CHN, KOR"
1971,KOR,PRK
1971,JPN,
1971,IND,"CHN, BTN, PAK, MMR, LKA, NPL"
1971,BTN,"CHN, IND"
1971,PAK,"RUS, IRN, AFG, CHN, IND, MMR, NPL"
1971,MMR,"CHN, IND, PAK, THA, LAO"
1971,LKA,IND
1971,MDV,
1971,NPL,"CHN, IND, PAK"
1971,THA,"MMR, KHM, LAO, MYS"
1971,KHM,"THA, LAO, VNM"
1971,LAO,"CHN, MMR, THA, KHM, VNM"
1971,VNM,"KHM, LAO"
1971,MYS,"THA, SGP, IDN"
1971,SGP,"MYS, IDN"
1971,PHL,
1971,IDN,"MYS, SGP"
1971,AUS,
1971,NZL,
1971,FJI,
1972,USA,"CAN, MEX"
1972,CAN,USA
1972,CUB,
1972,HTI,DOM
1972,DOM,HTI
1972,JAM,
1972,TTO,VEN
1972,BRB,
1972,MEX,"USA, GTM"
1972,GTM,"MEX, HND, SLV"
1972,HND,"GTM, SLV, NIC"
1972,SLV,"GTM, HND, NIC"
1972,NIC,"HND, SLV, CRI"
1972,CRI,"NIC, PAN"
1972,PAN,"CRI, COL"
1972,COL,"PAN, VEN, ECU, PER, BRA"
1972,VEN,"TTO, COL, GUY, BRA"
1972,GUY,"VEN, BRA"
1972,ECU,"COL, PER"
1972,PER,"COL, ECU, BRA, BOL, CHL"
1972,BRA,"COL, VEN, GUY, PER, BOL, PRY, ARG, URY"
1972,BOL,"PER, BRA, PRY, CHL, ARG"
1972,PRY,"BRA, BOL, ARG"
1972,CHL,"PER, BOL, ARG"
1972,ARG,"BRA, BOL, PRY, CHL, URY"
1972,URY,"BRA, ARG"
1972,GBR,IRL
1972,IRL,GBR
1972,NLD,"BEL, DEU"
1972,BEL,"NLD, LUX, FRA, DEU"
1972,LUX,"BEL, FRA, DEU"
1972,FRA,"BEL, LUX, CHE, ESP, DEU, ITA"
1972,CHE,"FRA, DEU, AUT, ITA"
1972,ESP,"FRA, PRT, MAR"
1972,PRT,ESP
1972,DEU,"NLD, BEL, LUX, FRA, CHE, AUT, DNK"
1972,POL,RUS
1972,AUT,"CHE, DEU, HUN, ITA"
1972,HUN,"AUT, ROU, RUS"
1972,ITA,"FRA, CHE, AUT"
1972,MLT,
1972,ALB,GRC
1972,GRC,"ALB, BGR, TUR"
1972,CYP,
1972,BGR,"GRC, ROU, TUR"
1972,ROU,"HUN, BGR, RUS"
1972,RUS,"POL, HUN, ROU, FIN, NOR, IRN, TUR, AFG, CHN, MNG, PRK, PAK"
1972,FIN,"RUS, SWE, NOR"
1972,SWE,"FIN, NOR, DNK"
1972,NOR,"RUS, FIN, SWE"
1972,DNK,"DEU, SWE"
1972,ISL,
1972,GNQ,"CMR, GAB"
1972,GMB,SEN
1972,MLI,"SEN, MRT, NER, CIV, GIN, BFA, DZA"
1972,SEN,"GMB, MLI, MRT, GIN"
1972,BEN,"NER, BFA, GHA, TGO, NGA"
1972,MRT,"MLI, SEN, MAR, DZA"
1972,NER,"MLI, BEN, BFA, NGA, TCD, DZA, LBY"
1972,CIV,"MLI, GIN, BFA, LBR, GHA"
1972,GIN,"MLI, SEN, CIV, LBR, SLE"
1972,BFA,"MLI, BEN, NER, CIV, GHA, TGO"
1972,LBR,"CIV, GIN, SLE"
1972,SLE,"GIN, LBR"
1972,GHA,"BEN, CIV, BFA, TGO"
1972,TGO,"BEN, BFA, GHA"
1972,CMR,"GNQ, NGA, GAB, CAF, TCD, COG"
1972,NGA,"BEN, NER, CMR, TCD"
1972,GAB,"GNQ, CMR, COG"
1972,CAF,"CMR, TCD, COG, COD, SDN"
1972,TCD,"NER, CMR, NGA, CAF, LBY, SDN"
1972,COG,"CMR, GAB, CAF, COD"
1972,COD,"CAF, COG, UGA, TZA, BDI, RWA, ZMB, SDN"
1972,UGA,"COD, KEN, TZA, RWA, SDN"
1972,KEN,"UGA, TZA, SOM, ETH, SDN"
1972,TZA,"COD, UGA, KEN, BDI, RWA, ZMB, MWI"
1972,BDI,"COD, TZA, RWA"
1972,RWA,"COD, UGA, TZA, BDI"
1972,SOM,"KEN, ETH"
1972,ETH,"KEN, SOM, SDN"
1972,ZMB,"COD, TZA, ZWE, MWI, BWA"
1972,ZWE,"ZMB, ZAF, BWA"
1972,MWI,"TZA, ZMB"
1972,ZAF,"ZWE, LSO, BWA, SWZ"
1972,LSO,ZAF
1972,BWA,"ZMB, ZWE, ZAF"
1972,SWZ,ZAF
1972,MDG,
1972,MUS,
1972,MAR,"ESP, MRT, DZA"
1972,DZA,"MLI, MRT, NER, MAR, TUN, LBY"
1972,TUN,"DZA, LBY"
1972,LBY,"NER, TCD, DZA, TUN, SDN, EGY"
1972,SDN,"CAF, TCD, COD, UGA, KEN, ETH, LBY, EGY"
1972,IRN,"RUS, TUR, IRQ, KWT, AFG, PAK"
1972,TUR,"GRC, BGR, RUS, IRN, IRQ, SYR"
1972,IRQ,"IRN, TUR, SYR, JOR, SAU, KWT"
1972,EGY,"LBY, SDN, ISR"
1972,SYR,"TUR, IRQ, LBN, JOR, ISR"
1972,LBN,"SYR, ISR"
1972,JOR,"IRQ, SYR, ISR, SAU"
1972,ISR,"EGY, SYR, LBN, JOR, SAU"
1972,SAU,"IRQ, JOR, ISR, KWT, BHR, QAT, ARE, OMN"
1972,KWT,"IRN, IRQ, SAU"
1972,BHR,"SAU, QAT"
1972,QAT,"SAU, BHR, ARE"
1972,ARE,"SAU, QAT, OMN"
1972,OMN,"SAU, ARE"
1972,AFG,"RUS, IRN, CHN, PAK"
1972,CHN,"RUS, AFG, MNG, PRK, IND, BTN, PAK, MMR, NPL, LAO"
1972,MNG,"RUS, CHN"
1972,TWN,
1972,PRK,"RUS, CHN, KOR"
1972,KOR,PRK
1972,JPN,
1972,IND,"CHN, BTN, PAK, BGD, MMR, LKA, NPL"
1972,BTN,"CHN, IND"
