year,country,INPARTY,OUTPARTY
2004,Romania,7.865142822265625,3.690093517303467
2014,Romania,6.740298271179199,2.394960880279541
2012,Romania,7.357282638549805,3.169734239578247
2012,Serbia,7.449460983276367,2.929882287979126
2010,Slovakia,8.371644020080566,3.223219394683838
2016,Slovakia,7.545539855957031,3.2739059925079346
2020,Slovakia,7.362033367156982,2.566528081893921
1996,Slovenia,6.971210479736328,3.295193910598755
2008,Slovenia,6.8546061515808105,3.0767111778259277
2004,Slovenia,6.757176876068115,3.13977313041687
2011,Slovenia,6.2486066818237305,2.4846479892730713
2014,South Africa,8.062256813049316,2.680506944656372
2009,South Africa,8.764459609985352,2.9113950729370117
2008,Spain,6.883760452270508,2.5060267448425293
2004,Spain,7.342264652252197,3.276956558227539
1996,Spain,7.0495381355285645,2.7406153678894043
2000,Spain,6.90705680847168,2.975287437438965
2018,Sweden,8.48717212677002,3.5414061546325684
2003,Switzerland,8.28847599029541,3.8756113052368164
1996,Taiwan,6.22879695892334,3.5874485969543457
2004,Taiwan,6.715302467346191,3.463622808456421
2012,Taiwan,6.757167816162109,3.9158740043640137
2008,Taiwan,6.395654678344727,3.224797248840332
2016,Taiwan,6.539999961853027,3.6702473163604736
2020,Taiwan,6.7621989250183105,3.8449721336364746
2001,Taiwan,6.835911750793457,3.8452582359313965
2001,Thailand,8.878504753112793,4.7808732986450195
2019,Tunisia,5.4285712242126465,1.7958060503005981
2019,Uruguay,8.143939018249512,2.992973566055298
2009,Uruguay,7.653560161590576,2.1178622245788574
2019,Greece,7.276238313,1.548182461
2018,Hungary,7.979960863,1.680503053
2021,Netherlands,8.291606588,4.429228387
2018,Turkey,8.262063568,2.129741676
